epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,502.398,1.00953,0.81669,1.11011,0.66768,0.45191,0.53319,0.37512,1.32759,1.63237,1.69192,0.00099044,0.00099044,0.00099044
64,510.508,0.98924,0.77261,1.14289,0.61122,0.52315,0.54117,0.38445,1.34456,1.63004,1.67506,0.000983366,0.000983366,0.000983366
65,518.52,0.98519,0.86309,1.24055,0.75602,0.53486,0.59555,0.41724,1.32994,1.46084,1.64252,0.000976293,0.000976293,0.000976293
66,526.317,0.96677,0.81339,1.21144,0.8013,0.529,0.6034,0.43546,1.29604,1.43469,1.6197,0.000969219,0.000969219,0.000969219
67,534.24,1.09493,1.05571,1.21307,0.8013,0.529,0.6034,0.43546,1.29604,1.43469,1.6197,0.000962146,0.000962146,0.000962146
68,542.516,0.95275,0.75628,1.14752,0.7471,0.51932,0.58482,0.40913,1.37175,1.64303,1.66356,0.000955072,0.000955072,0.000955072
69,550.616,0.90409,0.7967,1.23089,0.81495,0.36499,0.5605,0.39534,1.39438,1.76704,1.64479,0.000947999,0.000947999,0.000947999
70,558.569,0.97274,0.78122,1.1928,0.54664,0.45799,0.48383,0.33379,1.42017,1.65854,1.74946,0.000940925,0.000940925,0.000940925
71,566.407,0.96106,0.82183,1.22512,0.54664,0.45799,0.48383,0.33379,1.42017,1.65854,1.74946,0.000933851,0.000933851,0.000933851
72,574.283,0.97575,0.93401,1.24168,0.47863,0.53363,0.48674,0.3389,1.33344,1.67274,1.67619,0.000926778,0.000926778,0.000926778
73,582.024,0.929,0.9575,1.23803,0.61473,0.45139,0.49409,0.35196,1.36011,1.85918,1.69271,0.000919704,0.000919704,0.000919704
74,590.125,0.90851,0.79046,1.17042,0.60934,0.47011,0.46991,0.3318,1.42975,1.85947,1.7498,0.000912631,0.000912631,0.000912631
75,598.022,0.82054,0.73752,1.08944,0.60934,0.47011,0.46991,0.3318,1.42975,1.85947,1.7498,0.000905557,0.000905557,0.000905557
76,606.071,0.92397,0.73264,1.15279,0.61132,0.51615,0.48807,0.3214,1.4596,1.69552,1.76124,0.000898484,0.000898484,0.000898484
77,613.951,0.97311,0.86058,1.23293,0.62896,0.5034,0.4921,0.32146,1.49266,1.70316,1.79612,0.00089141,0.00089141,0.00089141
78,621.882,0.92754,0.81448,1.1255,0.54891,0.55897,0.50065,0.33401,1.4761,1.73364,1.74065,0.000884337,0.000884337,0.000884337
79,629.813,0.82079,0.80047,1.14861,0.54891,0.55897,0.50065,0.33401,1.4761,1.73364,1.74065,0.000877263,0.000877263,0.000877263
80,637.742,1.01172,0.73708,1.14631,0.64422,0.48312,0.50437,0.34639,1.44714,1.81742,1.72496,0.00087019,0.00087019,0.00087019
81,645.856,0.92457,0.69975,1.1541,0.62186,0.50152,0.53439,0.38029,1.35267,1.6979,1.69372,0.000863116,0.000863116,0.000863116
82,653.831,0.86578,0.68987,1.13181,0.52173,0.51177,0.51686,0.38387,1.28153,1.70742,1.65708,0.000856042,0.000856042,0.000856042
83,661.606,0.97825,0.81688,1.17432,0.52173,0.51177,0.51686,0.38387,1.28153,1.70742,1.65708,0.000848969,0.000848969,0.000848969
84,669.465,0.86883,0.7804,1.17874,0.55145,0.4827,0.48258,0.34423,1.38705,1.76261,1.75079,0.000841895,0.000841895,0.000841895
85,677.313,0.93352,0.88701,1.24187,0.61018,0.44396,0.45567,0.30817,1.43462,1.85914,1.81057,0.000834822,0.000834822,0.000834822
86,685.454,0.86567,0.76463,1.21752,0.61943,0.52388,0.49352,0.33186,1.38974,1.83059,1.77074,0.000827748,0.000827748,0.000827748
87,693.361,0.89323,0.72922,1.16103,0.61943,0.52388,0.49352,0.33186,1.38974,1.83059,1.77074,0.000820675,0.000820675,0.000820675
88,701.745,0.94608,0.75074,1.15789,0.68789,0.48403,0.55223,0.37671,1.39013,1.61124,1.72909,0.000813601,0.000813601,0.000813601
89,709.631,0.83495,0.71153,1.16578,0.65631,0.51348,0.54845,0.37579,1.30689,1.50031,1.6533,0.000806528,0.000806528,0.000806528
90,717.369,0.89706,0.73769,1.14586,0.59503,0.59625,0.54762,0.38086,1.29013,1.49366,1.67389,0.000799454,0.000799454,0.000799454
91,725.48,0.97702,0.7989,1.25688,0.59503,0.59625,0.54762,0.38086,1.29013,1.49366,1.67389,0.00079238,0.00079238,0.00079238
92,733.468,1.02347,0.86872,1.26327,0.60332,0.57267,0.53904,0.36894,1.31497,1.51093,1.70888,0.000785307,0.000785307,0.000785307
93,741.522,0.89405,0.68341,1.16683,0.64245,0.55914,0.553,0.38648,1.31128,1.45174,1.67268,0.000778233,0.000778233,0.000778233
94,749.378,0.88574,0.75503,1.15691,0.73948,0.51999,0.59816,0.43436,1.25311,1.34947,1.63032,0.00077116,0.00077116,0.00077116
95,757.088,0.82255,0.64974,1.10403,0.73948,0.51999,0.59816,0.43436,1.25311,1.34947,1.63032,0.000764086,0.000764086,0.000764086
96,764.978,0.7265,0.56114,1.08443,0.68755,0.56215,0.64129,0.47012,1.20088,1.38102,1.59186,0.000757013,0.000757013,0.000757013
97,773.588,0.88954,0.81582,1.09493,0.84996,0.45359,0.60414,0.4405,1.20227,1.5682,1.58854,0.000749939,0.000749939,0.000749939
98,781.652,0.83819,0.69388,1.15772,0.79923,0.44346,0.55723,0.40082,1.24026,1.67659,1.61348,0.000742866,0.000742866,0.000742866
99,789.53,0.85779,0.71781,1.13866,0.79923,0.44346,0.55723,0.40082,1.24026,1.67659,1.61348,0.000735792,0.000735792,0.000735792
100,797.304,0.85443,0.67663,1.10837,0.68582,0.48306,0.54127,0.39432,1.21532,1.63743,1.5811,0.000728719,0.000728719,0.000728719
101,805.201,0.75668,0.6408,1.10442,0.65917,0.4614,0.57349,0.41947,1.19053,1.41943,1.55286,0.000721645,0.000721645,0.000721645
102,813.135,0.74915,0.56219,1.01769,0.51492,0.60088,0.57907,0.42848,1.16669,1.26892,1.52991,0.000714571,0.000714571,0.000714571
